,ScrapedName,ticker,Capitalización de mercado (intradía),Valor de empresa,P/E últimos 12 meses,Precio/beneficio anticipado,Ratio PEG (5 años previstos),Precio/ventas,Precio/valor,Valor/Ingresos de la empresa,Valor/EBITDA de empresa,Año fiscal finalizado,Trimestre más reciente,Margen de beneficios,Margen de explotación,Rentabilidad económica,Rentabilidad financiera,Ingresos,Beneficios por acción,Aumento trimestral de ingresos (interanual),Beneficio bruto,EBITDA,Ingresos netos disponibles,BPA diluido,Aumento trimestral de ganancias (interanual),Efectivo total,Efectivo total por acción,Endeudamiento total,Endeudamiento/Patrimonio total,Coeficiente de solvencia,Valor teórico contable por acción,Flujo de caja de explotación,Flujo de efectivo apalancado,Beta (5 años al mes),Cambio en 52 semanas,Cambio en 52 semanas de S&P 500,Máximo de 52 semanas,Mínimo de 52 semanas,Media móvil de 50 sesiones,Media móvil de 200 sesiones,Vol medio (3 meses),Vol medio (10 días),Acciones en circulación,Capital flotante,% de personas con información privilegiada,% de instituciones,Acciones en corto,Parcial corto,% en corto de capital flotante,% en corto de acciones en circulación,Acciones en corto (mes anterior ),Previsión de la tasa anual de dividendos,Previsión de la rentabilidad anual por dividendo,Cambio de dividendo anual de los últimos 12 meses,Rentabilidad por dividendo de los últimos 12 meses,Rentabilidad por dividendo de los últimos 5 años,Ratio de distribución de dividendos,Fecha del dividendo,Fecha de exdividendo,Último factor del split,Última fecha del split,Sector
32,0,TEC.MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0
33,"PHARMA MAR, S.A. (PHM.MC)",PHM.MC,962170000.0,0.0,0.0,0.0,0.0,10.83,44.72,0.0,0.0,31 dic. 2019,31 dic. 2019,-0.12810000000000002,-0.20629999999999998,-0.08109999999999999,-0.7365,88840000.0,0.0,0.0,80680000.0,-12280000.0,-9160000.0,-0.025,0.0,20890000.0,0.0,82730000.0,0.0,0.83,0.1,-26140000.0,-6260000.0,1.26,1.8508000000000002,0.0,5.0,1.351,4.2372,2.747,2990000.0,2910000.0,221800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0
34,"MIQUEL Y COSTAS &amp; MIQUEL, S.A. (MCM.MC)",MCM.MC,403060000.0,437540000.0,10.22,0.0,0.0,1.52,1.5,1.65,6.61,31 dic. 2019,31 dic. 2019,0.1484,0.1838,0.0751,0.14250000000000002,264300000.0,8.76,0.0,178610000.0,66160000.0,39220000.0,1.3,0.0,44310000.0,1.47,70370000.0,25.08,2.92,8.88,43730000.0,10320000.0,0.0,-0.2212,0.0,16.96,12.82,15.05,15.61,15420.0,52930.0,30350000.0,16540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0326,0.0,0.0106,0.0,0.611,0,10 dic. 2019,0.0,0.0,0
35,ABENGOA CLASE B (ABG-P.MC),ABG-P.MC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0069,0.01,0.0096,114840000.0,65120000.00000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0
36,CORPORACION FINANCIERA ALBA S.A (ALB.MC),ALB.MC,2430000000.0,2330000000.0,16.41,0.0,0.0,11.68,0.59,11.2,15.85,31 dic. 2018,30 sept. 2019,0.7138,0.6368,0.0188,0.0367,207900000.0,3.56,0.0,229300000.0,146920000.0,148400000.0,2.54,0.0,260000000.0,4.41,139000000.0,3.26,11.03,70.33,0.0,0.0,0.62,-0.0934,0.0,49.95,39.2,45.48,46.05,14170.0,46070.0,58240000.0,16350000.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0253,0.0,0.0248,0.0,0.3937,0,25 oct. 2019,0.0,0.0,Financial Services
37,"BOLSAS Y MERCADOS ESPANOLES,SOC (BME.MC)",BME.MC,2860000000.0,2570000000.0,22.52,0.0,0.0,9.59,7.09,8.62,15.14,31 dic. 2018,30 sept. 2019,0.4263,0.5579,0.0078000000000000005,0.3029,298450000.0,3.61,0.0,263500000.0,169790000.0,127230000.0,1.53,0.0,294950000.0,3.55,25900000.0,6.41,1.02,4.86,116600000.0,108300000.0,0.66,0.35869999999999996,0.0,36.0,20.5,34.78,29.68,228500.0,379440.0,83010000.0,72430000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0635,0.0,0.045700000000000005,0.0,1.0261,0,24 dic. 2019,0.0,0.0,Financial Services
38,"VIDRALA, S.A. (VID.MC)",VID.MC,2520000000.0,2750000000.0,17.67,0.0,0.0,2.49,3.48,2.71,10.19,31 dic. 2019,31 dic. 2019,0.1417,0.1782,0.0786,0.21489999999999998,1010000000.0,37.2,0.0,654830000.0,269430000.0,143280000.0,5.27,0.0,28800000.0,1.06,363690000.0,50.28,1.21,26.74,227350000.0,68860000.0,0.51,0.1038,0.0,100.0,75.7,95.57,86.21,14720.0,25810.0,27030000.0,15300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.012700000000000001,0.0,0.0126,0.0,0.20079999999999998,0,12 feb. 2020,0.0,0.0,Consumer Cyclical
39,"BODEGAS RIOJANAS,S.A. (RIO.MC)",RIO.MC,18310000.0,43040000.0,0.0,0.0,0.0,0.94,0.91,2.2,64.78,31 dic. 2018,30 sept. 2019,-0.0207,-0.030299999999999997,0.0,0.0,19550000.0,4.06,0.0,9760000.0,664500.0,-405000.0,-0.084,0.0,102000.0,0.02,24700000.0,121.39,0.0,4.19,0.0,0.0,0.14,-0.2621,0.0,5.25,3.8,4.26,4.4627,1180.0,1620.0,4820000.0,2690000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.0,0.0,0,14 jul. 2017,0.0,0.0,Consumer Defensive
40,"ENCE ENERGIA Y CELULOSA, S.A. (ENC.MC)",ENC.MC,843120000.0,1320000000.0,173.5,0.0,0.0,1.17,1.23,1.83,11.09,31 dic. 2019,31 dic. 2019,0.0128,0.0367,0.0094,0.0168,718240000.0,3.12,0.0,413730000.0,118710000.0,9210000.0,0.02,0.0,226700000.0,0.98,745700000.0,110.49,1.1,2.82,176500000.0,-142490000.0,1.12,-0.4767,0.0,6.36,3.042,3.6896,3.5906,2040000.0,3530000.0,242980000.0,146460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.09369999999999999,0.0,0.0308,0.0,5.8333,0,17 sept. 2019,0.0,0.0,Basic Materials
41,"IBERPAPEL GESTION,S.A. (IBG.MC)",IBG.MC,253680000.0,179830000.0,11.18,0.0,0.0,1.19,0.94,0.84,5.48,31 dic. 2019,31 dic. 2019,0.1014,0.1038,0.0364,0.083,213710000.0,20.29,0.0,130100000.0,32820000.0,21680000.0,2.06,0.0,147490000.0,13.51,70670000.0,26.48,3.59,24.43,25570000.0,-13830000.0,0.61,-0.227,0.0,31.4,22.5,25.01,25.55,5430.0,8039.999999999999,11030000.0,9070000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0234,0.0,0.0129,0.0,0.3006,0,12 may. 2020,0.0,0.0,Basic Materials
